District,Incumbent,Party,Biden,Trump,Total,Biden%,Trump%
TN-03,Chuck Fleischmann,(R),"115,371","226,469","348,163",33.1%,65.0%
TN-04,Scott DesJarlais,(R),"98,034","220,498","324,523",30.2%,67.9%
TN-05,OPEN,(D),"157,606","198,784","364,675",43.2%,54.5%
TN-06,John Rose,(R),"120,181","221,681","348,370",34.5%,63.6%
TN-07,Mark Green,(R),"135,634","185,342","328,513",41.3%,56.4%
TN-08,David Kustoff,(R),"110,189","244,389","359,751",30.6%,67.9%
TN-09,Steve Cohen,(D),"209,865","71,971","286,406",73.3%,25.1%
TX-01,OPEN,(R),"86,340","235,935","325,932",26.5%,72.4%
TX-02,Dan Crenshaw,(R),"121,722","194,830","321,027",37.9%,60.7%
TX-03,OPEN,(R),"152,283","204,522","362,332",42.0%,56.4%
TX-04,Pat Fallon,(R),"125,331","214,733","344,380",36.4%,62.4%
TX-05,Lance Gooden,(R),"113,821","180,707","298,176",38.2%,60.6%
TX-06,Jake Ellzey,(R),"105,417","172,963","281,938",37.4%,61.3%
TX-07,Lizzie Fletcher,(D),"179,327","96,257","279,261",64.2%,34.5%
TX-08,OPEN,(R),"111,737","196,658","312,347",35.8%,63.0%
TX-09,Al Green,(D),"195,428","58,355","256,506",76.2%,22.8%
TX-10,Michael McCaul,(R),"135,094","198,897","339,628",39.8%,58.6%
TX-11,August Pfluger,(R),"77,977","186,084","267,919",29.1%,69.5%
TX-12,Kay Granger,(R),"130,235","189,089","324,606",40.1%,58.3%
TX-13,Ronny Jackson,(R),"79,206","215,372","299,331",26.5%,72.0%
TX-14,Randy Weber,(R),"110,036","199,675","314,088",35.0%,63.6%
TX-15,OPEN,(D),"109,177","115,722","227,089",48.1%,51.0%
TX-16,Veronica Escobar,(D),"163,505","76,976","244,212",67.0%,31.5%
TX-17,Pete Sessions,(R),"114,751","182,847","302,045",38.0%,60.5%
TX-18,Sheila Jackson Lee,(D),"177,368","60,370","240,982",73.6%,25.1%
TX-19,Jodey Arrington,(R),"73,174","202,461","279,621",26.2%,72.4%
TX-20,Joaquin Castro,(D),"172,367","85,595","262,144",65.8%,32.7%
TX-21,Chip Roy,(R),"164,213","246,263","416,581",39.4%,59.1%
TX-22,Troy Nehls,(R),"138,254","191,937","334,585",41.3%,57.4%
TX-23,Tony Gonzales,(R),"134,552","155,681","294,019",45.8%,52.9%
TX-24,Beth Van Duyne,(R),"168,124","216,345","390,681",43.0%,55.4%
TX-25,Roger Williams,(R),"112,309","215,979","332,712",33.8%,64.9%
TX-26,Michael Burgess,(R),"144,823","211,963","361,989",40.0%,58.6%
TX-27,Michael Cloud,(R),"109,720","174,253","287,748",38.1%,60.6%
TX-28,Henry Cuellar,(D),"131,726","114,184","249,012",52.9%,45.9%
TX-29,Sylvia Garcia,(D),"118,450","54,253","174,765",67.8%,31.0%
TX-30,OPEN,(D),"217,199","58,708","279,332",77.8%,21.0%
TX-31,John Carter,(R),"133,165","202,406","341,869",39.0%,59.2%
TX-32,Colin Allred,(D),"172,823","86,040","263,239",65.7%,32.7%
TX-33,Marc Veasey,(D),"139,290","45,685","187,606",74.2%,24.4%
TX-34,"Vicente González
Mayra Flores","(D)
(R)","116,856","85,153","203,935",57.3%,41.8%
TX-35,OPEN,NEW,"187,900","69,342","262,092",71.7%,26.5%
TX-36,Brian Babin,(R),"102,316","198,540","304,672",33.6%,65.2%
TX-37,Lloyd Doggett,(D),"289,226","86,849","383,154",75.5%,22.7%
TX-38,OPEN,NEW,"143,907","208,722","357,580",40.2%,58.4%
UT-01,Blake Moore,(R),"142,221","216,685","374,776",37.9%,57.8%
UT-02,Chris Stewart,(R),"143,194","205,210","362,061",39.5%,56.7%
UT-03,John Curtis,(R),"149,658","224,849","391,105",38.3%,57.5%
UT-04,Burgess Owens,(R),"125,210","218,396","359,735",34.8%,60.7%
VA-01,Rob Wittman,(R),"215,574","244,413","466,892",46.2%,52.3%
VA-02,Elaine Luria,(D),"201,896","194,173","402,884",50.1%,48.2%
VA-03,Bobby Scott,(D),"230,576","101,134","337,411",68.3%,30.0%
VA-04,Donald McEachin,(D),"260,886","122,375","388,140",67.2%,31.5%
VA-05,Bob Good,(R),"194,989","230,682","431,686",45.2%,53.4%
VA-06,Ben Cline,(R),"133,543","208,274","347,395",38.4%,60.0%
VA-07,Abigail Spanberger,(D),"204,951","178,472","389,585",52.6%,45.8%
VA-08,Don Beyer,(D),"305,118","84,142","394,439",77.4%,21.3%
VA-09,Morgan Griffith,(R),"114,163","282,093","401,051",28.5%,70.3%
VA-10,Jennifer Wexton,(D),"238,976","164,941","410,021",58.3%,40.2%
VA-11,Gerry Connolly,(D),"295,688","121,172","422,707",70.0%,28.7%
VT-AL,OPEN,(D),"242,820","112,704","365,486",66.4%,30.8%
WA-01,Suzan DelBene,(D),"250,877","130,740","392,183",64.0%,33.3%
WA-02,Rick Larsen,(D),"263,073","162,798","437,403",60.1%,37.2%
WA-03,Jaime Herrera Beutler,(R),"196,218","213,902","420,817",46.6%,50.8%
WA-04,Dan Newhouse,(R),"130,107","184,863","323,034",40.3%,57.2%
WA-05,Cathy McMorris Rodgers,(R),"180,838","222,224","415,270",43.5%,53.5%
WA-06,Derek Kilmer,(D),"253,641","177,178","444,191",57.1%,39.9%
WA-07,Pramila Jayapal,(D),"395,386","51,351","455,644",86.8%,11.3%
WA-08,Kim Schrier,(D),"226,804","197,508","435,843",52.0%,45.3%
WA-09,Adam Smith,(D),"255,762","94,177","357,484",71.5%,26.3%
WA-10,Marilyn Strickland,(D),"216,906","149,910","378,511",57.3%,39.6%
WI-01,Bryan Steil,(R),"190,050","197,950","393,706",48.3%,50.3%
WI-02,Mark Pocan,(D),"310,866","125,928","442,951",70.2%,28.4%
WI-03,OPEN,(D),"185,088","203,589","395,551",46.8%,51.5%
WI-04,Gwen Moore,(D),"260,145","78,292","342,657",75.9%,22.8%
WI-05,Scott Fitzgerald,(R),"175,986","282,390","464,784",37.9%,60.8%
WI-06,Glenn Grothman,(R),"171,949","237,088","415,757",41.4%,57.0%
WI-07,Tom Tiffany,(R),"165,850","250,173","422,463",39.3%,59.2%
WI-08,Mike Gallagher,(R),"170,932","234,773","412,078",41.5%,57.0%
WV-01,Carol Miller,(R),"112,947","273,523","392,576",28.8%,69.7%
WV-02,Alex Mooney,(R),"123,037","271,859","402,076",30.6%,67.6%
WY-AL,Liz Cheney,(R),"73,491","193,559","275,026",26.7%,70.4%
